date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:17	83473/83473	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202024%2014:01:18%20GMT	https://mannatstudio.com/html/logzee/v3/index-3.html	/Users/kaltumaomar/websites/logistic/mannatstudio.com/html/logzee/v3/index-3.html	(from )
14:16:18	127/127	---MCZ	200	added ('OK')	text/plain	etag:W/%227411a01-85-56a6afe4ba040-br%22	https://mannatstudio.com/robots.txt		(from )
14:16:19	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2235805ff-47e-6289c0bbb7b79-br%22	https://mannatstudio.com/html/logzee/v3/assets/images/favicon.ico	/Users/kaltumaomar/websites/logistic/mannatstudio.com/html/logzee/v3/assets/images/favicon.ico	(from https://mannatstudio.com/html/logzee/v3/index-3.html)
14:16:21	96383/96383	---MCZ	200	added ('OK')	text/css	etag:W/%2235805d7-1787f-6289c4b4d1080-br%22	https://mannatstudio.com/html/logzee/v3/assets/css/style.css	/Users/kaltumaomar/websites/logistic/mannatstudio.com/html/logzee/v3/assets/css/style.css	(from https://mannatstudio.com/html/logzee/v3/index-3.html)
14:16:21	495186/495186	---MCZ	200	added ('OK')	text/css	etag:W/%2235805d8-78e52-6289c0a3ecfbe-br%22	https://mannatstudio.com/html/logzee/v3/assets/css/theme-plugins.min.css	/Users/kaltumaomar/websites/logistic/mannatstudio.com/html/logzee/v3/assets/css/theme-plugins.min.css	(from https://mannatstudio.com/html/logzee/v3/index-3.html)
14:16:22	13636/13636	---MCZ	200	added ('OK')	text/css	etag:W/%2235805d6-3544-6289c0a22f6a7-br%22	https://mannatstudio.com/html/logzee/v3/assets/css/responsive.css	/Users/kaltumaomar/websites/logistic/mannatstudio.com/html/logzee/v3/assets/css/responsive.css	(from https://mannatstudio.com/html/logzee/v3/index-3.html)
14:16:23	140793/140793	---MCZ	200	added ('OK')	text/css	etag:W/%2235a055a-225f9-6289c1019cc19-br%22	https://mannatstudio.com/html/logzee/v3/assets/revolution/css/layers.css	/Users/kaltumaomar/websites/logistic/mannatstudio.com/html/logzee/v3/assets/revolution/css/layers.css	(from https://mannatstudio.com/html/logzee/v3/index-3.html)
14:16:24	59576/59576	---MCZ	200	added ('OK')	text/css	etag:W/%2235a055c-e8b8-6289c10258045-br%22	https://mannatstudio.com/html/logzee/v3/assets/revolution/css/navigation.css	/Users/kaltumaomar/websites/logistic/mannatstudio.com/html/logzee/v3/assets/revolution/css/navigation.css	(from https://mannatstudio.com/html/logzee/v3/index-3.html)
14:16:24	30060/30060	---MCZ	200	added ('OK')	text/css	etag:W/%2235a055f-756c-6289c103df626-br%22	https://mannatstudio.com/html/logzee/v3/assets/revolution/css/settings.css	/Users/kaltumaomar/websites/logistic/mannatstudio.com/html/logzee/v3/assets/revolution/css/settings.css	(from https://mannatstudio.com/html/logzee/v3/index-3.html)
14:16:25	9742/9742	---MCZ	200	added ('OK')	text/css	etag:W/%2235a0f65-260e-6289c429c65d4-br%22	https://mannatstudio.com/html/logzee/v3/assets/revolution/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	/Users/kaltumaomar/websites/logistic/mannatstudio.com/html/logzee/v3/assets/revolution/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	(from https://mannatstudio.com/html/logzee/v3/index-3.html)
